Provider Name,State,City,Claims_Paid_for_Testing,Claims_Paid_for_Treatment,Georeferenced Column
PEARSALL EMERGENCY MED,TX,EL PASO,595.58,244.20,POINT (-106.492257 31.76006)
PEDIATRIC SPECIALISTS,VA,FALLS CHURCH,0,316.25,POINT (-77.173697 38.88393400000001)
STERLING EMERGENCY SER,FL,MIAMI BEACH,871.25,9498.10,POINT (-80.13485200000001 25.792236)
NORTH JERSEY PRIMARY C,NJ,PARAMUS,0,730.97,POINT (-74.075269 40.951915)
FLOYD HEALTHCARE MANAG,GA,ROME,538.99,1283.63,POINT (-85.180623 34.260461)
KENOSHA COMMUNITY HEAL,WI,KENOSHA,14784.57,0,POINT (-87.822877 42.588079)
SOUTH SHORE INFECTIOUS,NY,BAY SHORE,0,40587.77,POINT (-73.246812 40.722361)
UM COMMUNITY MEDICAL G,MD,LA PLATA,50.87,363.58,POINT (-76.97465 38.529215)
PLATTE VALLEY MEDICAL,CO,BRIGHTON,1305.36,16739.58,POINT (-104.812604 39.986767)
PRIME HEALTHCARE PC,CT,WATERBURY,163.52,0,POINT (-73.043069 41.554261)
CCI HEALTH AND WELLNES,MD,SILVER SPRING,967.02,362.80,POINT (-77.028121 38.996088)
GARDEN CITY URGENT CAR,MI,GARDEN CITY,171.81,0,POINT (-83.330914 42.325572)
UCLA DEPARTMENT OF MED,CA,PORTER RANCH,55.72,0,POINT (-118.570236 34.275562)
IBMC ER PHYSICIANS,OK,OKLAHOMA CITY,0,126.70,POINT (-97.521264 35.468494)
Northside Hospital,GA,CUMMING,13723.61,134151.76,POINT (-84.140359 34.207048)
NOVANT MEDICAL GROUP,NC,THOMASVILLE,12484.47,849.71,POINT (-80.081834 35.88318)
SAINTS MEDICAL GROUP,OK,OKLAHOMA CITY,42.87,0,POINT (-97.521264 35.468494)
NEWARK WAYNE COMMUNITY,NY,NEWARK,1333.55,0,POINT (-77.095287 43.046636)
ATHENS CLARKE EMERGENC,GA,ATHENS,65.19,0,POINT (-83.376798 33.957412000000005)
EMERGENCY MEDICINE ASS,VA,NEWPORT NEWS,1477.19,9362.93,POINT (-76.430349 36.977714)
NATIVE AMERICAN COMMUN,MN,MINNEAPOLIS,1020.19,43.05,POINT (-93.264346 44.977479)
UNITY CARE NW,WA,BELLINGHAM,103.96,0,POINT (-122.478122 48.754899)
MIDWEST PULMONARY CRIT,IL,OAK LAWN,0,55189.31,POINT (-87.750562 41.719979)
PALMETTO HEALTH USC ME,SC,COLUMBIA,0,205.63,POINT (-81.037094 34.009286)
HOWARD MENTAL HEALTH,IN,KOKOMO,418.83,0,POINT (-86.131244 40.486508)
TRINITY HEALTH OF NEW,CT,HARTFORD,146.98,4005.72,POINT (-72.673356 41.765775)
St Barnabas Hospital,NY,BRONX,155.02,79725.39,POINT (-73.920265 40.826153)
ZIPCLINIC URGENT CARE,CO,WESTMINSTER,42381.54,1339.86,POINT (-105.050335 39.863462)
GLHS ANESTHESIA GROUP,IN,LAFAYETTE,0,234.83,POINT (-86.890617 40.417328)
NORTHEAST FLORIDA HEAL,FL,SOUTH DAYTONA,24613.81,0,POINT (-81.012507 29.170675000000003)
MEDICAL SERVICES OF SU,NY,LOWVILLE,171.25,0,POINT (-75.492243 43.786667)
JONES MEMORIAL HOSPITA,NY,WELLSVILLE,410.64,0,POINT (-77.946058 42.120693)
UNIVERSITY OF CALIFORN,CA,IRVINE,0,386.20,POINT (-117.824719 33.685908)
NOVANT MEDICAL GROUP,NC,WINSTON SALEM,484.43,508.24,POINT (-80.243735 36.096261)
BUFFALO EMERGENCY ASSO,NY,KENMORE,0,171.25,POINT (-78.870039 42.962823)
COMMUNITY MEDICAL ASSO,KY,LOUISVILLE,173.04,172.09,POINT (-85.751569 38.256078)
MEDICAL ASSOCIATES OF,NJ,FAIR LAWN,0,1194.65,POINT (-74.118724 40.936465000000005)
NOVANT MEDICAL GROUP,VA,MANASSAS,0,656.23,POINT (-77.475089 38.750771)
CAREPOINT EMERGENCY ME,KS,WICHITA,663.75,0,POINT (-97.335571 37.686024)
MEMORIAL MEDICAL CENTE,IL,SPRINGFIELD,15.31,0,POINT (-89.643624 39.79936)
NORTH FLORIDA MEDICAL,FL,CRESTVIEW,290.83,0,POINT (-86.562651 30.749649)
MVES AUSTINTOWN LLC,MD,GERMANTOWN,65.75,0,POINT (-77.270161 39.176944)
CHEROKEE HEALTH SYSTEM,TN,TALBOTT,2456.07,0,POINT (-83.408184 36.157407)
CATHOLIC HEALTH,CO,COLORADO SPRINGS,570.72,0,POINT (-104.819798 38.835224)
JEFFERSON UNIVERSITY P,PA,PHILADELPHIA,0,6290.90,POINT (-75.16562 39.951061)
SEA MAR COMMUNITY HEAL,WA,FEDERAL WAY,3330.76,2435.12,POINT (-122.33465799999999 47.315177000000006)
UNITY HEALTH CARE,DC,WASHINGTON,521.72,74.05,POINT (-77.019912 38.892062)
SHERIDAN RADIOLOGY SER,FL,LAUDERDALE LAKES,9.70,884.77,POINT (-80.2062 26.16856)
NOVANT HEALTH,NC,CHARLOTTE,23256.07,15401.64,POINT (-80.840161 35.222936)
RIGHTTIME MEDICAL CARE,MD,OLNEY,0,4426.47,POINT (-77.066893 39.152619)
PROVIDENCE HEALTH AND,WA,MARYSVILLE,76.10,0,POINT (-122.17310200000001 48.051799)
ST JOSEPH PLACE,NY,PORT JERVIS,3346.74,1155.91,POINT (-74.685055 41.375775000000004)
VALLEY WEST COMMUNITY,IL,SANDWICH,4973.04,0,POINT (-88.621747 41.645771)
UCHealth Medical Group,CO,FORT COLLINS,885.89,33068.74,POINT (-105.082459 40.588972)
BOONE COUNTY HEALTH CE,NE,ALBION,252.20,170.37,POINT (-97.99586400000001 41.689913)
UNIVERSITY OF PENN MED,PA,PHILADELPHIA,4804.03,34308.78,POINT (-75.16562 39.951061)
UM COMMUNITY MEDICAL G,MD,CHESTERTOWN,82.11,0,POINT (-76.06576 39.211199)
CITY OF ST LOUIS EMERG,MO,SAINT LOUIS,0,2419.59,POINT (-90.200309 38.630276)
ORANGE COUNTY URGENT C,CA,ATASCADERO,1224.44,113.04,POINT (-120.666437 35.480769)
ID CARE PA,NJ,SOMERSET,0,11881.32,POINT (-74.522971 40.498331)
RUSH UNIVERSITY MEDICA,IL,OAK PARK,0,972.04,POINT (-87.794492 41.88865)
STEWARD EMERGENCY PHYS,MA,METHUEN,2153.45,319.10,POINT (-71.191399 42.72610100000001)
MAIN LINE HEALTHCARE,PA,GLEN MILLS,104.31,0,POINT (-75.491898 39.919201)
PHYSICIAN GROUP LC,MO,SAINT LOUIS,0,217.28,POINT (-90.200309 38.630276)
BAYCARE CLINIC LLP,WI,GREEN BAY,2476.29,2779.85,POINT (-88.013256 44.513288)
THE WESTCHESTER MEDICA,NY,YONKERS,868.31,1806.34,POINT (-73.896052 40.932014)
MERCY HOSPITAL,ME,PORTLAND,5439.08,1064.54,POINT (-70.256519 43.659218)
ELIZABETH DEWEY MD,NC,GREENSBORO,317.43,0,POINT (-79.793899 36.072701)
GOLD STAR EMS LLC,GA,ALBANY,0,844.02,POINT (-84.155875 31.57846)
NEIGHBORHOOD HEALTH CL,IN,FORT WAYNE,249.60,0,POINT (-85.137495 41.077474)
ABBOTT NORTHWESTERN HO,MN,SAINT PAUL,4443.46,1019.49,POINT (-93.094281 44.943719)
ALTAMED HEALTH SERVICE,CA,PICO RIVERA,65556.00,15492.57,POINT (-118.07937200000002 33.99945)
MUNSON MEDICAL CENTER,MI,TRAVERSE CITY,16858.44,425.44,POINT (-85.605469 44.759092)
LEWIS GALE PHYSICIANS,VA,SALEM,218.18,285.53,POINT (-80.056759 37.292986000000006)
QUALITY URGENT CARE PC,CO,LOUISVILLE,1505.62,0,POINT (-105.132138 39.976838)
VALLEY REGIONAL ENTERP,VA,STRASBURG,490.94,0,POINT (-78.358835 38.988485)
JOHNSTON HEALTH,NC,SMITHFIELD,7597.67,56435.91,POINT (-78.341343 35.505917)
FAUQUIER HOSPITAL,VA,WARRENTON,275.73,0,POINT (-77.795561 38.713842)
PRESBYTERIAN HOME HEAL,NM,SANTA FE,81818.48,2118.53,POINT (-105.939593 35.692133)
EXCEL URGENT CARE PLLC,TX,HOUSTON,14351.69,0,POINT (-95.369506 29.760803)
BAXTER REGIONAL MEDICA,AR,MOUNTAIN HOME,564.63,0,POINT (-92.387497 36.335882)
HEALTHALLIANCE HOSPITA,MA,LEOMINSTER,12889.78,3562.40,POINT (-71.760142 42.525857)
INFECTIOUS DISEASE PRA,NY,ROCKVILLE CENTRE,0,19084.95,POINT (-73.640293 40.662249)
PROVIDENCE HEALTH AND,OR,MOLALLA,40.33,0,POINT (-122.575321 45.147123)
SOUTHEAST GEORGIA HEAL,GA,BRUNSWICK,33290.42,45135.46,POINT (-81.50248 31.168992)
NINTH AVENUE INTERNAL,CO,DENVER,462.84,0,POINT (-104.984853 39.738453)
CARDIOVASCULAR AND HEA,TX,TOMBALL,0,361.77,POINT (-95.616006 30.097205000000002)
OUR LADY OF THE LAKE P,LA,PRAIRIEVILLE,229.38,0,POINT (-90.972736 30.304505)
HUNTSVILLE HOSPITAL,AL,HUNTSVILLE,200554.53,66299.43,POINT (-86.585283 34.729538)
INTERMOUNTAIN HEALTHCA,UT,PARK CITY,1051.32,21094.01,POINT (-111.509385 40.66036)
ACCESS FAMILY HEALTH,MS,SMITHVILLE,1481.72,0,POINT (-88.399222 34.068394)
TYLER REGIONAL HOSPITA,TX,TYLER,9034.76,138710.03,POINT (-95.300644 32.350763)
MERCY EMERGENCY DEPART,MO,O FALLON,572.58,0,POINT (-90.699957 38.808644)
GERID HIV PLLC,TX,HOUSTON,0,5583.79,POINT (-95.369506 29.760803)
GRADY EMS LLC,GA,FORT GAINES,0,4283.06,POINT (-85.049886 31.606444000000003)
METHODIST HEALTHCARE S,TX,SAN ANTONIO,0,50421.01,POINT (-98.494599 29.425172999999997)
WVU HOSPITALS INC,WV,MORGANTOWN,0,10340.50,POINT (-79.955946 39.629757)
ST LUCIE MEDICAL CENTE,FL,BRADENTON,21071.19,56869.03,POINT (-82.562798 27.488962)
ALLIED EMERGENCY PHYSI,CA,SIMI VALLEY,2536.14,1526.25,POINT (-118.71280400000002 34.286321)
ST LUKES PHYSICIAN GRO,PA,ALLENTOWN,317.72,234.03,POINT (-75.469759 40.602753)
PROGRESSIVE EMERGENCY,PA,EAST NORRITON,538.94,1308.05,POINT (-75.340855 40.150245)
FIRST CALL AMBULANCE,TN,OLD HICKORY,0,5711.90,POINT (-86.647797 36.259701)
SANTA MONICA UCLA MEDI,CA,SANTA MONICA,14952.93,3082.30,POINT (-118.49151200000001 34.010932)
ORLANDO HEALTH,FL,ORLANDO,510.22,13098.81,POINT (-81.378879 28.538331)
FLATWOODS IMPATIENT SE,FL,OVIEDO,0,229.67,POINT (-81.208479 28.670289999999998)
VALLEY PHYSICIAN SERVI,NJ,LINDEN,147.56,0,POINT (-74.249961 40.629587)
LOUISVILLE KIDNEY CARE,KY,LOUISVILLE,0,3323.02,POINT (-85.751569 38.256078)
THE EMORY CLINIC,GA,SMYRNA,0,73.57,POINT (-84.512657 33.880244)
INDIANA EMERGENCY PHYS,IN,FRANKFORT,183.07,0,POINT (-86.51066300000001 40.279704)
CAREPOINT HOSPITAL MED,KS,WICHITA,0,196.28,POINT (-97.335571 37.686024)
AURORA ADVANCED HEALTH,WI,NEW BERLIN,160.17,0,POINT (-88.095677 42.995503)
UES RICHMOND HEIGHTS L,OH,RICHMOND HEIGHTS,1401.41,519.75,POINT (-81.497083 41.552752000000005)
IOWA EMERGENCY PHYSICI,IA,WATERLOO,499.50,1446.66,POINT (-92.34364 42.493469)
ALLIANCE PHYSICIANS IN,OH,DAYTON,0,164.70,POINT (-84.19220300000002 39.760982)
ST JUDE EMERGENCY MEDI,CA,FULLERTON,2785.58,1958.44,POINT (-117.92430200000001 33.870345)
QUEST DIAGNOSTICS,IL,WOOD DALE,431676.76,30919.72,POINT (-87.978803 41.966955)
OAKWOOD AMBULATORY LLC,MI,ROSEVILLE,54.13,0,POINT (-82.923877 42.51718)
WESLEY MEDICAL CENTER,KS,WICHITA,9533.95,64074.60,POINT (-97.335571 37.686024)
TULSA RADIOLOGY ASSOCI,OK,CLAREMORE,315.68,890.45,POINT (-95.61658 36.313969)
EMERGENCY CARE SERVICE,PA,WILKES BARRE,0,175.01,POINT (-75.881184 41.246249)
GULF COAST MEDICAL CEN,FL,PANAMA CITY,8459.58,39858.80,POINT (-85.73078000000001 30.185159)
ST LUKES PHYSICIAN GRO,PA,PHILADELPHIA,14.45,0,POINT (-75.16562 39.951061)
ADVANTAGE FAMILY CARE,AL,FLORENCE,89.71,0,POINT (-87.673264 34.801317)
PULMONARY PHYSICIANS O,FL,PALMETTO BAY,0,3209.76,POINT (-80.324944 25.621012)
Lenox Hill Hospital,NY,NEW YORK,24303.65,107505.06,POINT (-74.007228 40.713054)
HOUSTON MEDICAL CENTER,GA,PERRY,0,4444.83,POINT (-83.732465 32.459439)
EMERGENCY PHYSICIANS O,FL,LONGWOOD,122706.61,3872.98,POINT (-81.352659 28.704558)
CLHG OAKDALE LLC,LA,OAKDALE,102.66,0,POINT (-92.660808 30.815799000000002)
TEXAS HEALTH PHYSICIAN,TX,SUNNYVALE,142.59,52.26,POINT (-96.60251 32.81344)
SPECTRUM HEALTH MEDICA,MI,BIG RAPIDS,0,249.72,POINT (-85.48398 43.702205)
COCONUT CREEK EMERGENC,FL,MARGATE,2022.94,617.51,POINT (-80.204917 26.242534)
HEALTHONE CLINIC SERVI,CO,LITTLETON,0,787.28,POINT (-105.016198 39.612653)
ALTEON HEALTH NEW JERS,NJ,HOLMDEL,386.14,560.99,POINT (-74.182352 40.38217)
COLUMBIA ST MARYS HOSP,WI,MEQUON,606.46,0,POINT (-88.014829 43.221598)
UMASS MEMORIAL MEDICAL,MA,BARRE,328.94,0,POINT (-72.104847 42.42235)
JUPITER HOSPITALISTS I,FL,JUPITER,0,1015.30,POINT (-80.099736 26.934145)
SOUTHCOAST PHYSICIAN S,MA,NEW BEDFORD,0,8645.49,POINT (-70.92766 41.63405)
NORTH JERSEY PRIMARY C,NJ,ROCHELLE PARK,0,245.22,POINT (-74.076618 40.906116)
COMMUNITY HEALTH CENTE,UT,SALT LAKE CITY,73.15,283.37,POINT (-111.888142 40.758478)
DOCTORS EXPRESS,OR,OREGON CITY,854.25,135.18,POINT (-122.590784 45.33675)
ROBERT WOOD JOHNSON ME,NJ,NEW BRUNSWICK,0,566.67,POINT (-74.444139 40.495921)
LACKEY MEMORIAL HOSPIT,MS,FOREST,36680.35,22289.86,POINT (-89.474486 32.364101)
MEMPHIS URGENT CARE 2,TN,COLLIERVILLE,173.02,0,POINT (-89.668627 35.045572)
FOUNDATION MEDICAL PAR,NH,PELHAM,0,161.74,POINT (-71.322564 42.733783)
PROVIDENCE HOSPITAL AN,MI,SOUTHFIELD,10588.15,202673.53,POINT (-83.240756 42.477952)
NORTHEAST MEDICAL GROU,CT,SHELTON,46.38,0,POINT (-73.092968 41.316843)
MOSAIC LIFE CARE OF ST,MO,CAMERON,334.82,0,POINT (-94.23583 39.741205)
GEORGIA MOUNTAINS HEAL,GA,CHATSWORTH,207.24,0,POINT (-84.769567 34.766103)
FRANCISCAN MEDICAL GRO,WA,PORT ORCHARD,1397.97,76.66,POINT (-122.636318 47.537998)
WEST JERSEY HEALTH SYS,NJ,VOORHEES,0,214857.24,POINT (-74.949196 39.857822000000006)
ROBERT C BYRD CLINIC,WV,LEWISBURG,3025.88,290.50,POINT (-80.445414 37.801721)
SESSINE NAJJAR MD LLC,NJ,CLIFTON,0,6991.25,POINT (-74.160996 40.865418)
MEMORIAL HOSPITAL,TN,CHATTANOOGA,806.42,392.18,POINT (-85.308287 35.045756)
LAKE WALES EMERGENCY P,FL,LAKE WALES,351.65,0,POINT (-81.586277 27.901237)
UMASS MEMORIAL MEDICAL,MA,WESTBOROUGH,0,154.09,POINT (-71.61575 42.26697)
ST VINCENT MEDICAL GRO,IN,NORTH VERNON,120.76,0,POINT (-85.629525 39.005959)
CHEROKEE HEALTH SYSTEM,TN,MORRISTOWN,70.79,0,POINT (-83.295107 36.214459)
PATIENT FIRST,MD,BALTIMORE,150.09,0,POINT (-76.612333 39.290443)
MAIMONIDES CARDIOLOGY,NY,BROOKLYN,0,69.37,POINT (-73.990996 40.692529)
PHILLIPSBURG EMERGENCY,NJ,PHILLIPSBURG,0,444.18,POINT (-75.188802 40.695775)
THE OHIO STATE UNIVERS,OH,COLUMBUS,45559.37,169481.03,POINT (-82.996216 39.962649)
EAGLE PHYSICIANS AND A,NC,GREENSBORO,150.72,0,POINT (-79.793899 36.072701)
KENNEKUK EMERGENCY PHY,IL,DANVILLE,443.62,0,POINT (-87.630211 40.142128)
NATIONAL MEDICAL PROFE,TX,FLOWER MOUND,426.70,0,POINT (-97.079639 33.034065)
NEBRASKA METHODIST HOS,NE,ELKHORN,62.06,113.26,POINT (-96.249571 41.352068)
CHATTANOOGA HAMILTON C,TN,CHATTANOOGA,2591.21,884.36,POINT (-85.308287 35.045756)
ST CLARE MEDICAL CENTE,IN,CRAWFORDSVILLE,7067.02,32174.82,POINT (-86.903342 40.04285900000001)
INFECTIOUS DISEASE CON,FL,ALTAMONTE SPRINGS,0,49257.97,POINT (-81.390362 28.670401)
WESTERN MEDICAL ASSOCI,ID,COEUR D ALENE,11512.18,0,POINT (-116.784122 47.673517)
ELVEERA VALIEVA,FL,HYPOLUXO,487.44,0,POINT (-80.053352 26.566313)
JERSEY SHORE HOSPITAL,PA,JERSEY SHORE,132.00,0,POINT (-77.271087 41.202569)
DOCTORS URGENT CARE,FL,ODESSA,173.92,0,POINT (-82.590301 28.188854)
FRIO REGIONAL HOSPITAL,TX,PEARSALL,590.10,801.94,POINT (-99.09707400000002 28.889431)
SIMPSON GENERAL HOSPIT,MS,HARRISVILLE,193.55,0,POINT (-90.07779700000002 31.9722)
SPRING BRANCH COMMUNIT,TX,HOUSTON,45.23,65.95,POINT (-95.369506 29.760803)
ROCKFORD HEALTH PHYSIC,IL,ROCKFORD,177.86,0,POINT (-89.088377 42.266802)
NORTHWEST RADIOLOGY NE,IN,INDIANAPOLIS,0,98.34,POINT (-86.156212 39.76845)
HOLY CROSS HOSPITAL,AZ,NOGALES,3978.75,648.45,POINT (-110.934129 31.341931)
HEYWOOD MEDICAL GROUP,MA,ATHOL,600.94,79.26,POINT (-72.227055 42.593126)
CARDIOTHORACIC AND VAS,IL,LIBERTYVILLE,0,10052.14,POINT (-87.953339 42.282996)
MEMORIAL HERMANN MEDIC,TX,SHENANDOAH,0,3494.24,POINT (-95.458471 30.179104999999996)
UNIVERSITY PHYSICIANS,CT,FARMINGTON,42.44,0,POINT (-72.824947 41.72651)
ST JAMES HEALTHCARE,MT,BUTTE,239.20,0,POINT (-112.535583 46.01284)
CITY BAY URGENT CARE,CA,SAN FRANCISCO,384.24,0,POINT (-122.42016799999999 37.780080000000005)
ARIA JEFFERSON HEALTH,PA,PHILADELPHIA,2053.97,10955.83,POINT (-75.16562 39.951061)
LEHIGH VALLEY PHYSICIA,PA,BATH,164.40,44.42,POINT (-75.390729 40.727414)
AURORA MEDICAL CENTER,WI,KENOSHA,11373.96,35398.48,POINT (-87.822877 42.588079)
SCOTT WHITE CLINIC,TX,TAYLOR,604.22,321.73,POINT (-97.409131 30.570682)
LITTLE ROCK AMBULANCE,AR,LITTLE ROCK,0,1978.94,POINT (-92.275105 34.748745)
KISHWAUKEE COMMUNITY H,IL,DEKALB,17033.74,105075.48,POINT (-88.751347 41.929921)
ACS PRIMARY CARE PHYS,LA,LAFAYETTE,197.04,252.57,POINT (-92.018773 30.221260000000004)
IU HEALTH WEST HOSPITA,IN,AVON,0,41783.82,POINT (-86.396567 39.76282)
CITY OF HAMPTON VIRGIN,VA,HAMPTON,0,376.21,POINT (-76.342338 37.028265)
MERCER COUNTY HEALTH D,OH,CELINA,0,486.50,POINT (-84.570811 40.549993)
NYPMG HUDSON VALLEY,NY,PEEKSKILL,235.74,181.22,POINT (-73.921894 41.290357)
MAIN LINE HEALTHCARE,PA,EXTON,27.82,0,POINT (-75.63154 40.032966)
URGENT CARE PHYSICIANS,TX,KINGWOOD,1541.30,759.76,POINT (-95.260803 30.033300000000004)
BSA AMARILLO DIAGNOSTI,TX,AMARILLO,0,343.02,POINT (-101.832013 35.207009)
HUGULEY EMERGENCY PHYS,TX,FORT WORTH,179.80,0,POINT (-97.340038 32.739977)
BEEBE PHYSICIAN NETWOR,DE,LEWES,0,33522.85,POINT (-75.140683 38.772886)
ABBOTT NORTHWESTERN HO,MN,ANNANDALE,165.15,282.17,POINT (-94.124433 45.262742)
STEPHEN F AUSTIN,TX,ANGLETON,0,4171.72,POINT (-95.431726 29.164485)
ACCESS FAMILY HEALTH,MS,PONTOTOC,423.61,0,POINT (-88.999324 34.249079)
PINNACLE HEALTH MEDICA,PA,MECHANICSBURG,0,2446.66,POINT (-77.008033 40.213283)
ALLIANCE MEDICAL GOUP,ID,MERIDIAN,12443.41,751.95,POINT (-116.391569 43.610115)
LANAI EMERGENCY MEDICA,HI,LANAI CITY,121.73,0,POINT (-156.918361 20.825376)
NORTH JERSEY PRIMARY C,NJ,MAYWOOD,0,542.27,POINT (-74.06179300000001 40.902657)
ST VINCENT HOSPITAL,WI,SHEBOYGAN,0,140.78,POINT (-87.712907 43.75088)
FAMILY CARE CENTER PC,OR,REDMOND,2380.89,160.45,POINT (-121.17431000000002 44.272553)
MONTCLAIR RADIOLOGY,NJ,POMPTON PLAINS,128.20,77.50,POINT (-74.296097 40.968102)
DELPHI HEALTHCARE PLLC,NY,ALEXANDRIA BAY,145.56,0,POINT (-75.91899 44.336841)
SOUTHWEST GENERAL HEAL,OH,MIDDLEBURG HEIGHTS,2641.69,332.99,POINT (-81.80789 41.370822)
FLORIDA LABORATORY ANA,FL,SAINT AUGUSTINE,12445.44,0,POINT (-81.316709 29.896004000000005)
ST FRANCIS CARDIOVASCU,NY,MANHASSET,0,207.49,POINT (-73.699407 40.796783)
PHYSICIANS PRACTICE GR,GA,EATONTON,103.37,0,POINT (-83.387894 33.325574)
TUSTIN URGENT CARE APC,CA,TUSTIN,184.61,0,POINT (-117.81880500000001 33.742072)
VIRTUA MEDICAL GROUP,NJ,CHERRY HILL,0,171.64,POINT (-75.030928 39.925801)
PACIFIC COAST EMERGENC,CA,LONG BEACH,2709.78,0,POINT (-118.19372300000002 33.767168)
TRI CITIES REGIONAL EM,TN,ELIZABETHTON,63.02,0,POINT (-82.249703 36.343894)
SOUTHWEST WOMENS HEALT,TX,HOUSTON,159.87,0,POINT (-95.369506 29.760803)
HILLCREST HOSPITAL,OH,WARRENSVILLE HEIGHTS,12270.16,6582.24,POINT (-81.527581 41.44218800000001)
JOHNS HOPKINS UNIVERSI,MD,BALTIMORE,6335.25,153355.02,POINT (-76.612333 39.290443)
MERCY CLINIC PHYSICAL,MO,HILLSBORO,74.84,0,POINT (-90.567228 38.232139)
FAMILY HEALTH CENTERS,IN,JEFFERSONVILLE,0,36.31,POINT (-85.72554 38.299811)
MARSHALL MEDICAL CENTE,TN,LEWISBURG,12738.71,0,POINT (-86.788907 35.450991)
GOLDEN STATE URGENT CA,CA,LOS GATOS,2175.19,206.44,POINT (-121.979636 37.221339)
WELLSTAR MARIETTA INTE,GA,HIRAM,178.10,11521.32,POINT (-84.761462 33.877756)
TRIHEALTH,OH,BATAVIA,0,250.47,POINT (-84.17955300000001 39.078695)
NOKESVILLE MEDICINE PC,VA,NOKESVILLE,2602.08,0,POINT (-77.583699 38.700188)
FRANCISCAN PHYSICIAN N,IN,SHELBYVILLE,0,8.26,POINT (-85.777011 39.52295)
CMC DEPARTMENT OF MEDI,NJ,WOODBURY,0,5570.60,POINT (-75.15316 39.838159)
MERCY MANAGEMENT OF SO,PA,SPRINGFIELD,0,86.33,POINT (-75.320577 39.930607)
CEP AMERICA ILLINOIS L,IL,ARLINGTON HEIGHTS,0,71.49,POINT (-87.98051 42.08296)
ELMHURST CLINIC,IL,ELMHURST,0,1651.95,POINT (-87.939953 41.902162)
HEALTHSTAR PHYSICIANS,AR,HOT SPRINGS NATIONAL,4576.75,69.37,POINT (-93.055659 34.502785)
CRYSTAL SPRINGS EMERGE,CA,ARCATA,693.49,0,POINT (-124.090548 40.86818600000001)
NORTH WESTER MEDICAL G,IL,VERNON HILLS,69.92,93.04,POINT (-87.959562 42.238635)
PLEASANTON EMERGENCY M,CA,PLEASANTON,4756.41,375.84,POINT (-121.87892299999999 37.656667)
QUALITY OF LIFE HEALTH,AL,TUSKEGEE,271.35,0,POINT (-85.690489 32.423636)
STARR REGIONAL HEALTH,TN,ATHENS,430.07,598.81,POINT (-84.60690300000002 35.448396)
EMERGENCY PHYSICIAN AS,NJ,CHERRY HILL,17651.60,18555.75,POINT (-75.030928 39.925801)
